ALL CLIENTS
id,name,email_address,work_phone
"3263","Test Client","",""
"3260","Test Client","",""
"3238","Columbia Asia Hospital (Petaling Jaya)","",""
"3237","KPJ APSH","",""
"3225","KPJ Kinrara Specialist & Healthcare Centre","",""
"3222","ProPain Centre (Kota Damansara)","",""
"3221","ProPain Centre (KL)","",""
"3210","Poliklinik Ikhwan","nbma1611@gmail.com",""
"3209","Klinik Suzana","",""
"3206","Island Hospital","",""
"3167","KPJ Ampang Puteri Specialist Hospital","",""
"3158","Jiwa Penyayang Wellness Centre","",""
"3142","Poliklinik Ar-Razi (Malay Town)","",""
"3141","Poliklinik Ar-Razi (IM8)","",""
"3140","KMI Kelana Jaya Medical Centre","",""
"3139","Avisena Women's & Children's Specialist Hospital","",""
"3137","Pantai Satellite (Penang)","",""
"3136","Pantai Satellite (Cheras)","",""
"3135","Pantai Satellite (Klang)","",""
"3134","Pantai Satellite (Batu Pahat)","",""
"3129","Physiofit Physiotherapy & Rehabilitation Centre ","",""
"3077","Columbia Asia Hospital (Bukit Jalil)","rozita.zaid@columbiaasia.com.my","03-8657 9888"
"3076","Rehab Bee Physio (Cheras)","Adm.rehabbee@gmail.com"," 018-204 2551"
"3075","Poliklinik An-Nur (Banting)","drfarhahsk@gmail.com","017-343 4892"
"35","KPJ Batu Pahat Specialist Hospital","maisurah.mohamad@kpjbatupahat.com","07-4591000"
"63","Klinik Sentosa (Johor Bahru)","drkishansingh87@gmail.com","010-6515127"
"30","Columbia Asia Hospital (Bukit Rimau)","roezlan.rozman@columbiaasia.com","03-5125999"
"2","KPJ Klang Specialist Hospital","amirulf@kpjklang.com","03-3377888"
"61","Klinik Ar Raudah Damai (Simpang Renggam)","rizwanread@gmail.com","07-7559808"
"1","KPJ Ampang Puteri Specialist Hospital","zaireen.n@kpjampang.com","03-42895000"
"60","Klinik Iman (Kuala Terengganu)","zatiey89@gmail.com","013-3429651"
"59","Mobility Matters Physio & Rehab","admin@mmatters.my","011-25045506"
"58","ProPain Centre (Shah Alam)","propainmy@gmail.com","011-52388483"
"56","Klinik Perdana (Tendong)","klinikperdanatendong@gmail.com","010-4190883"
"54","KK Physiocare","mayviv.lim@gmail.com","012-8392858"
"53","Quick Rehab","shahrilrahimi81@gmail.com","012-2990452"
"46","Poliklinik Ar-Razi (Balok)","khairulrahimy22@gmail.com","09-5833250"
"45","Poliklinik Ar-Razi (Sg. Isap)","taukuihua8@gmail.com","09-5367113"
"44","Poliklinik Ar-Razi (Pekan)","aizs002@gmail.com","09-4260503"
"42","AZA Mediclinic ","ajmalsyamim@gmail.com","04-441 9502"
"41","Poliklinik Pekaka","klinikpekaka@gmail.com","05-7102039"
"40","Klinik Tasik Puteri","KLINIKTASIKPUTRI@GMAIL.COM","03-60345638"
"39","Klinik Lana","admin@kliniklana.com","03-77703677"
"38","Klinik Anda","klinikanda.kualaselangor@gmail.com","03-3377888"
"34","Hospital Sultanah Aminah","nurhidayah_ong@moh.gov.my","07-2257000"
"33","Institut Jantung Negara","khairullizam@ijn.com.my","03-2617 8200"
"32","Hospital Kuala Lumpur","harikrishna@moh.gov.my","012-3008509"
"31","Anson Bay Medical Centre","suganthiaginish@gmail.com","05-6232999"
"29","Subang Jaya Medical Centre","lim.khoon.jin@rsdhealth.com","03-56391212"
"28","Avisena Specialist Hospital","riza@avisena.com.my","03-55151888"
"27","Gleneagles (Kota Kinabalu)","sharon.wong@integratedrehab.com.my","088-518888"
"26","Gleneagles (Medini)","azri.laily@integratedrehab.com.my","07-560 1000"
"25","Gleneagles (Penang)","kangshing.lee@integratedrehab.com.my","04-2229111"
"24","Pantai Hospital (Penang)","beefang89@gmail.com","04-6433888"
"23","Pantai Hospital (Laguna Merbok)","sitinoraswanishafie27@gmail.com","04-4423888"
"22","Pantai Hospital (Sungai Petani)","jasbir.kabal@integratedrehab.com.my","04-4428888"
"21","Pantai Hospital (Batu Pahat)","ziwei.ter@integratedrehab.com.my","07-4338811"
"20","Pantai Hospital (Ayer Keroh)","izawati.ismail@integratedrehab.com.my","06-2319999"
"19","Pantai Hospital (Manjung)","","05-6898555"
"18","Pantai Hospital (Ipoh)","zaleha.rafdzi@integratedrehab.com.my","05-5405555"
"17","Pantai Satellite (Klang)","sheriena.abdullah@integratedrehab.com.my","03-33722303"
"16","Pantai Hospital (Klang)","sheriena.abdullah@integratedrehab.com.my","03-32585500"
"15","Pantai Hospital Ampang","gmie_are@yahoo.com","03-42892828"
"14","Pantai Hospital Cheras","dorisleesm88@gmail.com","03-91452888"
"13","Pantai Hospital KL Bangsar","faiz.zainal@integratedrehab.com.my","03-22960888"
"12","KPJ Sabah Specialist Hospital","leefy@kpjsabah.com","088-322000"
"11","KPJ Pasir Gudang Specialist Hospital","nurhudaa@kpjpgsh.com","07-257 3999"
"9","KPJ Pahang Specialist Hospital","faizah_doha@kpjpahang.com","09-5112692"
"8","KPJ Perdana Specialist Hospital","nasirpremier@gmail.com","09-745 8000"
"7","KPJ Kedah Medical Centre","husinazizan@kmc@gmail.com","04-7308878"
"6","KPJ Penang Specialist Hospital","","04-5486688"
"5","KPJ Seremban Specialist Hospital","azri.hisham@kpjseremban.com","06-768 6000"
"280","Rehabworks Physiotherapy Centre (Kota Kinabalu)","",""

DUPLICATES
id,name,firstPage,duplicatePage
